element,MeanConc,source_1,source_2,source_3,source_4,source_5,source_6,r_squared,PredConc,Pct_error
aluminum,22.18,0.13,0.2,14.69,4.47,5.33,1.68,0.44,26.51,19.51
ammonium,1120.78,205.57,9.02,153.02,799.87,-154.09,40.46,0.93,1053.86,-5.97
arsenic,0.49,0.07,0.01,0.03,0.15,0.14,0,0.16,0.4,-17.98
barium,1.87,0.07,0.16,0.52,0.11,2.3,-0.06,0.26,3.1,65.68
bromine,3.06,0.51,0.31,0.14,0.92,1.1,-0.32,0.38,2.66,-13.12
cadmium,1.68,0.12,-0.07,0.09,-0.07,0.13,-0.17,0.01,0.03,-98.37
calcium,51.85,16.07,2.49,13.58,5.46,3.11,0.07,0.56,40.78,-21.35
chlorine,37.07,11.45,42.81,-4.87,5.4,5.83,-2.02,0.69,58.58,58.04
chromium,2.13,0.5,-0.09,0.32,-0.46,-0.88,3.19,0.26,2.58,20.89
copper,4.55,1.07,-0.07,0.63,0.99,2.33,0.69,0.67,5.64,23.87
EC,707.73,145.7,-3.45,98.42,133.3,253.47,68.64,0.52,696.09,-1.64
iron,105.5,11.02,-0.32,24.81,13.89,33.86,25.18,0.96,108.45,2.79
lead,2.02,0.88,0.04,0.05,0.56,1.16,-0.41,0.51,2.28,13.15
magnesium,7.12,-0.81,6.3,0.47,-0.02,2.2,-0.3,0.88,7.84,10.22
manganese,2.1,0.71,0.01,0.4,0.44,0.34,0.38,0.73,2.28,8.74
nickel,4.94,2.49,0.13,0.34,0.78,-1.73,1.55,0.88,3.55,-28.14
nitrate,1613.47,608.43,101.61,0.31,670.44,103.38,66.42,0.56,1550.59,-3.9
OC,2693.2,64.84,-46.27,346.91,800,882.38,20.93,0.82,2068.79,-23.18
pm25,10322.11,901.08,170.76,1386.5,4257.78,1867.95,129.58,0.85,8713.65,-15.58
potassium,36.15,6.59,3.98,2.97,14.05,20.54,-4.98,0.32,43.14,19.34
selenium,0.4,0.05,0.01,0.05,0.22,0.01,-0.01,0.29,0.33,-15.71
silicon,61.01,3.59,1.09,46.19,8.85,7.53,-3.03,0.94,64.22,5.26
sodium,95.65,5.13,59.4,7.82,4.95,-8.24,5.69,0.9,74.77,-21.83
sulfur,788.05,-20.4,2.28,155.69,477.01,-10.82,10.88,0.83,614.64,-22.01
titanium,2.37,0.02,-0.02,1.23,0.44,0.86,0.12,0.48,2.65,11.89
vanadium,2.86,0.76,0.11,0.72,1.38,0.33,0.32,0.43,3.61,26.55
zinc,26.09,15.4,0.54,-1.79,3.2,7.76,-3.75,0.93,21.36,-18.14
